activity_id,user_id,activity_type,activity_timestamp,channel,anonymous_identity,flagged,flag_reason
ca_0000001,u_00068,post_created,2025-06-22 21:57:00,gratitude,anon_00068,False,
ca_0000002,u_00077,post_created,2025-03-01 10:50:00,habits,anon_00077,False,
ca_0000003,u_00169,post_created,2025-04-21 14:05:00,purpose,anon_00169,False,
ca_0000004,u_00218,post_created,2025-09-12 22:03:00,faith,anon_00218,False,
ca_0000005,u_00220,post_created,2025-11-30 13:22:00,general,anon_00220,False,
ca_0000006,u_00238,post_created,2025-04-11 07:55:00,general,anon_00238,False,
ca_0000007,u_00321,post_created,2025-04-30 10:48:00,relationships,anon_00321,False,
ca_0000008,u_00340,post_created,2025-09-15 21:56:00,gratitude,anon_00340,False,
ca_0000009,u_00355,post_created,2025-01-12 10:35:00,gratitude,anon_00355,False,
ca_0000010,u_00397,post_created,2025-11-06 07:58:00,relationships,anon_00397,False,
ca_0000011,u_00512,post_created,2025-05-01 21:57:00,gratitude,anon_00512,False,
ca_0000012,u_00517,post_created,2025-12-21 14:03:00,relationships,anon_00517,False,
ca_0000013,u_00549,post_created,2025-07-17 08:43:00,sabr,anon_00549,False,
ca_0000014,u_00575,post_created,2025-07-26 20:52:00,relationships,anon_00575,False,
ca_0000015,u_00578,post_created,2025-08-21 15:19:00,faith,anon_00578,False,
ca_0000016,u_00586,post_created,2025-07-04 11:54:00,shukr,anon_00586,False,
ca_0000017,u_00715,post_created,2025-08-13 15:34:00,habits,anon_00715,False,
ca_0000018,u_00772,post_created,2025-06-08 09:37:00,habits,anon_00772,False,
ca_0000019,u_00776,post_created,2025-06-28 20:39:00,shukr,anon_00776,False,
ca_0000020,u_00826,post_created,2025-07-20 15:57:00,shukr,anon_00826,False,
ca_0000021,u_00828,post_created,2025-12-14 20:27:00,sabr,anon_00828,False,
ca_0000022,u_00835,post_created,2025-02-23 11:57:00,general,anon_00835,False,
ca_0000023,u_00911,post_created,2025-08-19 11:49:00,gratitude,anon_00911,False,
