checkin_id,user_id,checkin_date,mood,faith_state,topic,tone
c_0000001,u_00002,2025-03-07,good,,work,light_islamic
c_0000002,u_00002,2025-03-09,grateful,,work,universal
c_0000003,u_00002,2025-03-11,good,questioning,burnout,light_islamic
c_0000004,u_00002,2025-03-22,good,at_peace,faith,universal
c_0000005,u_00002,2025-03-25,neutral,distant,habits,universal
c_0000006,u_00002,2025-03-26,low,at_peace,self,universal
c_0000007,u_00003,2025-03-04,good,,confidence,universal
c_0000008,u_00003,2025-03-05,grateful,,purpose,deeper_faith
c_0000009,u_00003,2025-03-06,good,,work,universal
c_0000010,u_00003,2025-03-11,neutral,at_peace,faith,universal
c_0000011,u_00003,2025-03-12,good,at_peace,work,universal
c_0000012,u_00003,2025-03-13,grateful,at_peace,faith,light_islamic
c_0000013,u_00003,2025-03-19,good,questioning,habits,universal
c_0000014,u_00003,2025-03-22,neutral,hurting,burnout,deeper_faith
c_0000015,u_00003,2025-03-24,grateful,at_peace,gratitude,light_islamic
c_0000016,u_00003,2025-03-27,good,at_peace,confidence,universal
c_0000017,u_00003,2025-03-28,good,questioning,habits,deeper_faith
c_0000018,u_00003,2025-03-31,very_low,at_peace,confidence,universal
c_0000019,u_00004,2025-12-14,good,,faith,universal
c_0000020,u_00004,2025-12-17,good,,gratitude,universal
c_0000021,u_00004,2025-12-19,neutral,at_peace,confidence,universal
c_0000022,u_00004,2025-12-20,neutral,questioning,confidence,light_islamic
c_0000023,u_00004,2025-12-21,neutral,at_peace,work,light_islamic
c_0000024,u_00004,2025-12-25,neutral,at_peace,habits,deeper_faith
c_0000025,u_00004,2025-12-28,low,at_peace,burnout,light_islamic
c_0000026,u_00004,2026-01-02,low,at_peace,habits,deeper_faith
c_0000027,u_00004,2026-01-07,good,hurting,purpose,light_islamic
c_0000028,u_00005,2025-11-25,neutral,,work,deeper_faith
c_0000029,u_00005,2025-11-30,good,distant,gratitude,light_islamic
c_0000030,u_00005,2025-12-04,good,questioning,anxiety,light_islamic
c_0000031,u_00005,2025-12-05,neutral,at_peace,relationships,universal
c_0000032,u_00005,2025-12-10,good,questioning,work,universal
c_0000033,u_00005,2025-12-11,neutral,at_peace,gratitude,universal
c_0000034,u_00005,2025-12-20,neutral,distant,faith,universal
c_0000035,u_00009,2025-01-07,neutral,,self,deeper_faith
c_0000036,u_00009,2025-01-09,good,,purpose,deeper_faith
c_0000037,u_00009,2025-01-15,low,at_peace,anxiety,deeper_faith
c_0000038,u_00009,2025-01-16,neutral,distant,confidence,universal
c_0000039,u_00009,2025-01-19,good,hurting,gratitude,light_islamic
c_0000040,u_00009,2025-01-20,grateful,at_peace,anxiety,light_islamic
c_0000041,u_00009,2025-01-25,neutral,at_peace,gratitude,universal
c_0000042,u_00009,2025-01-27,good,at_peace,self,light_islamic
c_0000043,u_00009,2025-01-30,neutral,at_peace,self,universal
c_0000044,u_00010,2025-07-06,neutral,,faith,light_islamic
c_0000045,u_00010,2025-07-11,good,at_peace,work,universal
c_0000046,u_00010,2025-07-13,grateful,distant,burnout,light_islamic
c_0000047,u_00010,2025-07-14,very_low,at_peace,faith,light_islamic
c_0000048,u_00010,2025-07-15,low,distant,work,light_islamic
c_0000049,u_00010,2025-07-17,good,distant,burnout,deeper_faith
c_0000050,u_00010,2025-07-19,very_low,at_peace,burnout,universal
c_0000051,u_00010,2025-07-29,good,at_peace,purpose,universal
c_0000052,u_00010,2025-07-30,good,distant,work,universal
c_0000053,u_00011,2025-08-17,neutral,,faith,light_islamic
c_0000054,u_00011,2025-08-24,very_low,questioning,work,light_islamic
c_0000055,u_00011,2025-09-02,low,hurting,self,deeper_faith
c_0000056,u_00011,2025-09-08,neutral,distant,faith,universal
c_0000057,u_00011,2025-09-11,good,questioning,faith,light_islamic
c_0000058,u_00016,2025-02-25,neutral,,work,light_islamic
c_0000059,u_00016,2025-02-26,neutral,,gratitude,light_islamic
c_0000060,u_00016,2025-02-28,neutral,,purpose,light_islamic
c_0000061,u_00016,2025-03-01,very_low,questioning,self,deeper_faith
c_0000062,u_00016,2025-03-02,good,at_peace,work,light_islamic
c_0000063,u_00016,2025-03-03,low,distant,faith,light_islamic
c_0000064,u_00016,2025-03-13,neutral,at_peace,anxiety,light_islamic
c_0000065,u_00018,2025-01-25,good,,burnout,universal
c_0000066,u_00018,2025-01-31,very_low,at_peace,purpose,light_islamic
c_0000067,u_00018,2025-02-02,neutral,questioning,confidence,deeper_faith
c_0000068,u_00018,2025-02-05,low,hurting,work,deeper_faith
c_0000069,u_00018,2025-02-06,good,questioning,confidence,universal
c_0000070,u_00019,2025-05-05,good,,anxiety,light_islamic
c_0000071,u_00019,2025-05-07,good,,gratitude,light_islamic
c_0000072,u_00019,2025-05-08,good,,anxiety,universal
c_0000073,u_00019,2025-05-10,neutral,hurting,anxiety,light_islamic
c_0000074,u_00019,2025-05-18,neutral,at_peace,anxiety,deeper_faith
