event_name,category
signup_completed,signup
onboarding_started,onboarding
personality_test_opened,onboarding
personality_test_completed,onboarding
mbti_self_select_opened,onboarding
mbti_self_select_completed,onboarding
personality_skip_selected,onboarding
onboarding_completed,onboarding
home_viewed,engagement
mood_selected,reflection
faith_state_selected,reflection
topic_selected,reflection
tone_selected,reflection
prompt_generation_started,ai
prompt_generation_completed,ai
prompt_generation_failed,ai
prompt_regenerated,ai
journal_started,journal
journal_saved,journal
prompt_favorited,ai
inspire_viewed,inspire
inspire_saved,inspire
programme_viewed,programme
programme_started,programme
programme_day_completed,programme
community_viewed,community
post_created,community
notification_sent,notification
notification_delivered,notification
notification_tapped,notification
