experiment_id,user_id,variant,assigned_at
EXP_MBTI_ONBOARDING_001,u_00001,variant,2025-03-07
EXP_MBTI_ONBOARDING_001,u_00002,variant,2025-03-07
EXP_MBTI_ONBOARDING_001,u_00003,variant,2025-03-04
EXP_MBTI_ONBOARDING_001,u_00004,control,2025-12-14
EXP_MBTI_ONBOARDING_001,u_00005,variant,2025-11-25
EXP_MBTI_ONBOARDING_001,u_00006,control,2025-03-21
EXP_MBTI_ONBOARDING_001,u_00007,variant,2025-12-13
EXP_MBTI_ONBOARDING_001,u_00008,variant,2025-06-07
EXP_MBTI_ONBOARDING_001,u_00009,variant,2025-01-07
EXP_MBTI_ONBOARDING_001,u_00010,control,2025-07-06
EXP_MBTI_ONBOARDING_001,u_00011,variant,2025-08-17
EXP_MBTI_ONBOARDING_001,u_00012,variant,2025-06-13
EXP_MBTI_ONBOARDING_001,u_00013,control,2025-07-03
EXP_MBTI_ONBOARDING_001,u_00014,variant,2025-09-21
EXP_MBTI_ONBOARDING_001,u_00015,control,2025-11-14
EXP_MBTI_ONBOARDING_001,u_00016,variant,2025-02-25
EXP_MBTI_ONBOARDING_001,u_00017,control,2025-10-06
EXP_MBTI_ONBOARDING_001,u_00018,control,2025-01-25
EXP_MBTI_ONBOARDING_001,u_00019,variant,2025-05-05
EXP_MBTI_ONBOARDING_001,u_00020,control,2025-02-13
EXP_MBTI_ONBOARDING_001,u_00021,variant,2025-04-09
EXP_MBTI_ONBOARDING_001,u_00022,variant,2025-11-02
EXP_MBTI_ONBOARDING_001,u_00023,control,2025-11-05
EXP_MBTI_ONBOARDING_001,u_00024,control,2025-12-25
EXP_MBTI_ONBOARDING_001,u_00025,control,2025-06-05
EXP_MBTI_ONBOARDING_001,u_00026,variant,2025-04-07
EXP_MBTI_ONBOARDING_001,u_00027,variant,2025-12-17
EXP_MBTI_ONBOARDING_001,u_00028,control,2025-06-13
EXP_MBTI_ONBOARDING_001,u_00029,control,2025-10-22
EXP_MBTI_ONBOARDING_001,u_00030,control,2025-03-14
EXP_MBTI_ONBOARDING_001,u_00031,variant,2025-01-24
EXP_MBTI_ONBOARDING_001,u_00032,control,2025-08-23
EXP_MBTI_ONBOARDING_001,u_00033,control,2025-07-24
EXP_MBTI_ONBOARDING_001,u_00034,control,2025-03-14
EXP_MBTI_ONBOARDING_001,u_00035,control,2025-08-24
EXP_MBTI_ONBOARDING_001,u_00036,control,2025-05-23
EXP_MBTI_ONBOARDING_001,u_00037,variant,2025-08-18
EXP_MBTI_ONBOARDING_001,u_00038,variant,2025-09-24
EXP_MBTI_ONBOARDING_001,u_00039,control,2025-12-11
EXP_MBTI_ONBOARDING_001,u_00040,variant,2025-05-30
EXP_MBTI_ONBOARDING_001,u_00041,variant,2025-09-30
EXP_MBTI_ONBOARDING_001,u_00042,control,2025-09-01
EXP_MBTI_ONBOARDING_001,u_00043,variant,2025-10-02
EXP_MBTI_ONBOARDING_001,u_00044,variant,2025-03-03
EXP_MBTI_ONBOARDING_001,u_00045,control,2025-08-29
EXP_MBTI_ONBOARDING_001,u_00046,control,2025-09-03
EXP_MBTI_ONBOARDING_001,u_00047,variant,2025-03-11
EXP_MBTI_ONBOARDING_001,u_00048,control,2025-09-16
EXP_MBTI_ONBOARDING_001,u_00049,control,2025-04-13
EXP_MBTI_ONBOARDING_001,u_00050,control,2025-11-22
EXP_MBTI_ONBOARDING_001,u_00051,variant,2025-11-06
EXP_MBTI_ONBOARDING_001,u_00052,variant,2025-03-03
EXP_MBTI_ONBOARDING_001,u_00053,control,2025-12-02
EXP_MBTI_ONBOARDING_001,u_00054,control,2025-04-15
EXP_MBTI_ONBOARDING_001,u_00055,control,2025-01-07
EXP_MBTI_ONBOARDING_001,u_00056,control,2025-06-17
EXP_MBTI_ONBOARDING_001,u_00057,control,2025-10-07
EXP_MBTI_ONBOARDING_001,u_00058,variant,2025-05-09
EXP_MBTI_ONBOARDING_001,u_00059,control,2025-11-01
EXP_MBTI_ONBOARDING_001,u_00060,variant,2025-06-09
EXP_MBTI_ONBOARDING_001,u_00061,control,2025-01-19
EXP_MBTI_ONBOARDING_001,u_00062,variant,2025-01-30
EXP_MBTI_ONBOARDING_001,u_00063,control,2025-05-05
EXP_MBTI_ONBOARDING_001,u_00064,variant,2025-08-08
EXP_MBTI_ONBOARDING_001,u_00065,variant,2025-09-15
EXP_MBTI_ONBOARDING_001,u_00066,variant,2025-08-28
EXP_MBTI_ONBOARDING_001,u_00067,control,2025-03-28
EXP_MBTI_ONBOARDING_001,u_00068,control,2025-06-13
EXP_MBTI_ONBOARDING_001,u_00069,control,2025-06-16
EXP_MBTI_ONBOARDING_001,u_00070,variant,2025-12-05
EXP_MBTI_ONBOARDING_001,u_00071,control,2025-09-29
EXP_MBTI_ONBOARDING_001,u_00072,control,2025-12-12
EXP_MBTI_ONBOARDING_001,u_00073,control,2025-11-09
EXP_MBTI_ONBOARDING_001,u_00074,control,2025-10-23
EXP_MBTI_ONBOARDING_001,u_00075,control,2025-01-25
EXP_MBTI_ONBOARDING_001,u_00076,variant,2025-12-25
EXP_MBTI_ONBOARDING_001,u_00077,control,2025-02-15
EXP_MBTI_ONBOARDING_001,u_00078,control,2025-09-25
EXP_MBTI_ONBOARDING_001,u_00079,control,2025-07-05
EXP_MBTI_ONBOARDING_001,u_00080,variant,2025-08-17
EXP_MBTI_ONBOARDING_001,u_00081,variant,2025-08-11
EXP_MBTI_ONBOARDING_001,u_00082,variant,2025-01-10
EXP_MBTI_ONBOARDING_001,u_00083,variant,2025-09-02
EXP_MBTI_ONBOARDING_001,u_00084,control,2025-04-06
EXP_MBTI_ONBOARDING_001,u_00085,control,2025-03-30
EXP_MBTI_ONBOARDING_001,u_00086,variant,2025-04-22
EXP_MBTI_ONBOARDING_001,u_00087,control,2025-04-20
EXP_MBTI_ONBOARDING_001,u_00088,control,2025-12-01
EXP_MBTI_ONBOARDING_001,u_00089,variant,2025-08-13
EXP_MBTI_ONBOARDING_001,u_00090,control,2025-03-28
EXP_MBTI_ONBOARDING_001,u_00091,control,2025-09-05
EXP_MBTI_ONBOARDING_001,u_00092,variant,2025-08-22
EXP_MBTI_ONBOARDING_001,u_00093,variant,2025-12-04
EXP_MBTI_ONBOARDING_001,u_00094,variant,2025-10-01
EXP_MBTI_ONBOARDING_001,u_00095,variant,2025-04-04
EXP_MBTI_ONBOARDING_001,u_00096,variant,2025-01-17
EXP_MBTI_ONBOARDING_001,u_00097,control,2025-12-16
EXP_MBTI_ONBOARDING_001,u_00098,control,2025-09-05
EXP_MBTI_ONBOARDING_001,u_00099,control,2025-03-29
EXP_MBTI_ONBOARDING_001,u_00100,control,2025-05-30
EXP_MBTI_ONBOARDING_001,u_00101,variant,2025-02-17
EXP_MBTI_ONBOARDING_001,u_00102,control,2025-05-21
EXP_MBTI_ONBOARDING_001,u_00103,control,2025-12-23
EXP_MBTI_ONBOARDING_001,u_00104,control,2025-04-19
EXP_MBTI_ONBOARDING_001,u_00105,variant,2025-07-21
EXP_MBTI_ONBOARDING_001,u_00106,variant,2025-07-27
EXP_MBTI_ONBOARDING_001,u_00107,control,2025-09-27
EXP_MBTI_ONBOARDING_001,u_00108,variant,2025-01-24
EXP_MBTI_ONBOARDING_001,u_00109,variant,2025-04-04
EXP_MBTI_ONBOARDING_001,u_00110,variant,2025-09-20
EXP_MBTI_ONBOARDING_001,u_00111,variant,2025-10-23
EXP_MBTI_ONBOARDING_001,u_00112,control,2025-10-19
EXP_MBTI_ONBOARDING_001,u_00113,variant,2025-01-31
EXP_MBTI_ONBOARDING_001,u_00114,variant,2025-07-26
EXP_MBTI_ONBOARDING_001,u_00115,control,2025-03-31
EXP_MBTI_ONBOARDING_001,u_00116,variant,2025-09-10
EXP_MBTI_ONBOARDING_001,u_00117,control,2025-11-23
EXP_MBTI_ONBOARDING_001,u_00118,variant,2025-07-30
EXP_MBTI_ONBOARDING_001,u_00119,control,2025-06-14
EXP_MBTI_ONBOARDING_001,u_00120,control,2025-08-06
EXP_MBTI_ONBOARDING_001,u_00121,control,2025-10-18
EXP_MBTI_ONBOARDING_001,u_00122,control,2025-11-14
EXP_MBTI_ONBOARDING_001,u_00123,variant,2025-02-22
EXP_MBTI_ONBOARDING_001,u_00124,control,2025-04-09
EXP_MBTI_ONBOARDING_001,u_00125,control,2025-04-07
EXP_MBTI_ONBOARDING_001,u_00126,control,2025-09-30
EXP_MBTI_ONBOARDING_001,u_00127,variant,2025-02-03
EXP_MBTI_ONBOARDING_001,u_00128,variant,2025-10-04
EXP_MBTI_ONBOARDING_001,u_00129,variant,2025-08-29
EXP_MBTI_ONBOARDING_001,u_00130,variant,2025-03-08
EXP_MBTI_ONBOARDING_001,u_00131,variant,2025-06-02
EXP_MBTI_ONBOARDING_001,u_00132,control,2025-10-03
EXP_MBTI_ONBOARDING_001,u_00133,variant,2025-03-20
EXP_MBTI_ONBOARDING_001,u_00134,control,2025-12-14
EXP_MBTI_ONBOARDING_001,u_00135,variant,2025-06-08
EXP_MBTI_ONBOARDING_001,u_00136,variant,2025-04-04
EXP_MBTI_ONBOARDING_001,u_00137,control,2025-03-18
EXP_MBTI_ONBOARDING_001,u_00138,control,2025-02-25
EXP_MBTI_ONBOARDING_001,u_00139,control,2025-01-01
EXP_MBTI_ONBOARDING_001,u_00140,control,2025-08-07
EXP_MBTI_ONBOARDING_001,u_00141,variant,2025-05-04
EXP_MBTI_ONBOARDING_001,u_00142,variant,2025-11-03
EXP_MBTI_ONBOARDING_001,u_00143,control,2025-08-29
EXP_MBTI_ONBOARDING_001,u_00144,control,2025-05-02
EXP_MBTI_ONBOARDING_001,u_00145,variant,2025-11-05
EXP_MBTI_ONBOARDING_001,u_00146,variant,2025-05-07
EXP_MBTI_ONBOARDING_001,u_00147,variant,2025-12-12
EXP_MBTI_ONBOARDING_001,u_00148,control,2025-04-06
EXP_MBTI_ONBOARDING_001,u_00149,variant,2025-10-30
EXP_MBTI_ONBOARDING_001,u_00150,control,2025-09-26
EXP_MBTI_ONBOARDING_001,u_00151,variant,2025-04-21
EXP_MBTI_ONBOARDING_001,u_00152,variant,2025-08-29
EXP_MBTI_ONBOARDING_001,u_00153,control,2025-12-24
EXP_MBTI_ONBOARDING_001,u_00154,variant,2025-08-01
EXP_MBTI_ONBOARDING_001,u_00155,control,2025-05-18
EXP_MBTI_ONBOARDING_001,u_00156,variant,2025-11-06
EXP_MBTI_ONBOARDING_001,u_00157,variant,2025-06-26
