entry_id,user_id,created_at,mood,topic,tone,faith_state,word_count,sentiment_score,sentiment_label,sentiment_analyzed
j_0000001,u_00002,2025-03-07 09:02:00,good,work,light_islamic,,132,0.347,positive,True
j_0000002,u_00002,2025-03-11 16:18:00,good,burnout,light_islamic,questioning,28,0.435,positive,True
j_0000003,u_00002,2025-03-22 12:57:00,good,faith,universal,at_peace,61,0.091,neutral,True
j_0000004,u_00002,2025-03-25 15:33:00,neutral,habits,universal,distant,30,-0.153,negative,True
j_0000005,u_00002,2025-03-26 17:45:00,low,self,universal,at_peace,73,0.052,neutral,True
j_0000006,u_00003,2025-03-04 09:57:00,good,confidence,universal,,536,0.538,positive,True
j_0000007,u_00003,2025-03-05 10:04:00,grateful,purpose,deeper_faith,,51,0.603,positive,True
j_0000008,u_00003,2025-03-06 08:29:00,good,work,universal,,186,-0.088,neutral,True
j_0000009,u_00003,2025-03-12 10:09:00,good,work,universal,at_peace,25,0.081,neutral,True
j_0000010,u_00003,2025-03-13 19:01:00,grateful,faith,light_islamic,at_peace,26,0.068,neutral,True
j_0000011,u_00003,2025-03-22 13:18:00,neutral,burnout,deeper_faith,hurting,65,0.216,positive,True
j_0000012,u_00003,2025-03-24 14:07:00,grateful,gratitude,light_islamic,at_peace,97,-0.129,neutral,True
j_0000013,u_00003,2025-03-27 18:05:00,good,confidence,universal,at_peace,29,0.279,positive,True
j_0000014,u_00003,2025-03-28 11:39:00,good,habits,deeper_faith,questioning,33,0.012,neutral,True
j_0000015,u_00003,2025-03-31 12:44:00,very_low,confidence,universal,at_peace,59,-0.567,negative,True
j_0000016,u_00004,2025-12-17 22:05:00,good,gratitude,universal,,79,-0.123,neutral,True
j_0000017,u_00004,2025-12-19 18:28:00,neutral,confidence,universal,at_peace,66,0.164,positive,True
j_0000018,u_00004,2025-12-20 07:44:00,neutral,confidence,light_islamic,questioning,78,0.218,positive,True
j_0000019,u_00004,2025-12-25 08:23:00,neutral,habits,deeper_faith,at_peace,26,0.492,positive,True
j_0000020,u_00004,2025-12-28 16:39:00,low,burnout,light_islamic,at_peace,38,-0.165,negative,True
