notification_id,user_id,sent_at,notification_type,delivery_status,tapped,tapped_at
n_0000001,u_01128,2025-05-23 14:00:00,inspire,delivered,False,
n_0000002,u_00063,2025-05-10 16:00:00,programme_day,delivered,True,2025-05-10 16:04:00
n_0000003,u_00063,2025-05-07 12:00:00,daily_reflection,delivered,False,
n_0000004,u_01098,2025-12-08 10:00:00,programme_day,delivered,False,
n_0000005,u_01098,2025-12-15 13:00:00,programme_day,delivered,False,
n_0000006,u_02800,2025-08-05 11:00:00,inspire,delivered,False,
n_0000007,u_02800,2025-08-03 09:00:00,daily_reflection,delivered,False,
n_0000008,u_02800,2025-08-02 11:00:00,daily_reflection,delivered,False,
n_0000009,u_01809,2025-02-13 08:00:00,inspire,delivered,False,
n_0000010,u_00401,2025-05-23 17:00:00,inspire,delivered,False,
n_0000011,u_02788,2026-01-08 13:00:00,daily_reflection,delivered,False,
n_0000012,u_02788,2025-12-31 18:00:00,daily_reflection,delivered,True,2025-12-31 18:05:00
n_0000013,u_02788,2026-01-05 13:00:00,inspire,delivered,False,
n_0000014,u_00895,2025-09-28 09:00:00,inspire,delivered,False,
n_0000015,u_01932,2025-11-24 18:00:00,daily_reflection,delivered,False,
n_0000016,u_01932,2025-12-03 10:00:00,daily_reflection,delivered,False,
n_0000017,u_01932,2025-11-29 14:00:00,daily_reflection,delivered,False,
n_0000018,u_01042,2025-08-28 08:00:00,programme_day,delivered,False,
n_0000019,u_00969,2025-10-31 18:00:00,daily_reflection,delivered,False,
n_0000020,u_00969,2025-11-08 19:00:00,daily_reflection,delivered,True,2025-11-08 21:37:00
n_0000021,u_00708,2025-07-27 11:00:00,inspire,delivered,False,
n_0000022,u_00904,2025-04-05 08:00:00,inspire,delivered,True,2025-04-05 08:37:00
n_0000023,u_00904,2025-04-02 14:00:00,programme_day,delivered,False,
n_0000024,u_00904,2025-04-01 10:00:00,daily_reflection,delivered,False,
n_0000025,u_01122,2025-12-16 12:00:00,daily_reflection,delivered,False,
n_0000026,u_01122,2025-12-25 08:00:00,programme_day,delivered,False,
n_0000027,u_01122,2025-12-21 11:00:00,programme_day,delivered,True,2025-12-21 12:04:00
n_0000028,u_00342,2025-11-17 13:00:00,inspire,delivered,True,2025-11-17 13:55:00
