progress_id,user_id,programme_id,started_at,day_number,completed_at,status
pp_0000001,u_00031,purpose_21,2025-01-24,1,2025-01-24,completed
pp_0000002,u_00031,purpose_21,2025-01-24,2,2025-01-25,completed
pp_0000003,u_00031,purpose_21,2025-01-24,4,2025-01-27,completed
pp_0000004,u_00031,purpose_21,2025-01-24,5,2025-01-28,completed
pp_0000005,u_00031,purpose_21,2025-01-24,6,2025-01-29,completed
pp_0000006,u_00040,sabr_21,2025-05-30,1,2025-05-30,completed
pp_0000007,u_00040,sabr_21,2025-05-30,3,2025-06-01,completed
pp_0000008,u_00040,sabr_21,2025-05-30,4,2025-06-02,completed
pp_0000009,u_00055,sabr_21,2025-01-07,1,2025-01-07,completed
pp_0000010,u_00055,sabr_21,2025-01-07,2,2025-01-08,completed
pp_0000011,u_00055,sabr_21,2025-01-07,3,2025-01-09,completed
pp_0000012,u_00056,purpose_21,2025-06-17,1,2025-06-17,completed
pp_0000013,u_00110,sabr_21,2025-09-20,1,2025-09-20,completed
pp_0000014,u_00171,purpose_21,2025-09-11,1,2025-09-11,completed
pp_0000015,u_00171,purpose_21,2025-09-11,2,2025-09-12,completed
pp_0000016,u_00171,purpose_21,2025-09-11,3,2025-09-13,completed
pp_0000017,u_00171,purpose_21,2025-09-11,4,2025-09-14,completed
pp_0000018,u_00220,purpose_21,2025-11-26,1,2025-11-26,completed
pp_0000019,u_00220,purpose_21,2025-11-26,2,2025-11-27,completed
pp_0000020,u_00220,purpose_21,2025-11-26,3,2025-11-28,completed
pp_0000021,u_00220,purpose_21,2025-11-26,5,2025-11-30,completed
pp_0000022,u_00220,purpose_21,2025-11-26,6,2025-12-01,completed
pp_0000023,u_00220,purpose_21,2025-11-26,7,2025-12-02,completed
pp_0000024,u_00224,purpose_21,2025-05-29,1,2025-05-29,completed
pp_0000025,u_00224,purpose_21,2025-05-29,3,2025-05-31,completed
pp_0000026,u_00224,purpose_21,2025-05-29,4,2025-06-01,completed
pp_0000027,u_00224,purpose_21,2025-05-29,5,2025-06-02,completed
pp_0000028,u_00242,gratitude_21,2025-08-15,1,2025-08-15,completed
pp_0000029,u_00242,gratitude_21,2025-08-15,2,2025-08-16,completed
