user_id,signup_date,cohort_month,platform,country,cohort,onboarding_version,onboarding_path,knows_mbti,mbti,faith_level,social_energy,extrovert_score,religiosity_score,onboarding_completed,activated
u_00001,2025-03-07,2025-03,android,AE,variant,lower_friction,test_or_skip,False,,cultural,ambivert,45.6,22.3,True,False
u_00002,2025-03-07,2025-03,web,US,variant,lower_friction,self_select,True,ISTJ,cultural,deep_introvert,53.0,75.1,True,True
u_00003,2025-03-04,2025-03,ios,US,variant,lower_friction,self_select,True,INTP,spiritual,ambivert,54.5,56.2,True,True
u_00004,2025-12-14,2025-12,android,US,control,baseline,mandatory_test,True,ISFP,devoted,introvert,38.0,72.3,True,True
u_00005,2025-11-25,2025-11,ios,UK,variant,lower_friction,test_or_skip,False,,practicing,introvert,58.2,51.8,True,True
u_00006,2025-03-21,2025-03,ios,AE,control,baseline,mandatory_test,True,ESFJ,cultural,extrovert,26.1,52.5,False,False
u_00007,2025-12-13,2025-12,android,UK,variant,lower_friction,self_select,True,INTJ,spiritual,extrovert,82.5,56.6,False,False
u_00008,2025-06-07,2025-06,web,AE,variant,lower_friction,test_or_skip,False,,deep_seeker,ambivert,48.6,41.1,True,False
u_00009,2025-01-07,2025-01,ios,ID,variant,lower_friction,self_select,True,ISFJ,spiritual,introvert,51.3,59.2,True,True
u_00010,2025-07-06,2025-07,ios,AE,control,baseline,mandatory_test,True,ENTJ,devoted,extrovert,41.8,28.7,True,True
u_00011,2025-08-17,2025-08,android,AE,variant,lower_friction,test_or_skip,False,,spiritual,introvert,48.9,100.0,True,True
u_00012,2025-06-13,2025-06,ios,US,variant,lower_friction,test_or_skip,False,,practicing,introvert,39.2,83.8,True,False
u_00013,2025-07-03,2025-07,ios,SG,control,baseline,mandatory_test,False,,practicing,deep_introvert,62.2,25.3,True,False
u_00014,2025-09-21,2025-09,android,UK,variant,lower_friction,self_select,True,ENFJ,spiritual,ambivert,63.1,87.7,False,False
u_00015,2025-11-14,2025-11,android,MY,control,baseline,mandatory_test,True,INFJ,devoted,ambivert,41.3,91.7,True,False
u_00016,2025-02-25,2025-02,android,AU,variant,lower_friction,self_select,True,ENFJ,practicing,ambivert,42.6,65.7,True,True
u_00017,2025-10-06,2025-10,ios,ID,control,baseline,mandatory_test,True,INTP,practicing,deep_extrovert,65.7,85.4,True,False
u_00018,2025-01-25,2025-01,android,CA,control,baseline,mandatory_test,True,ISTJ,devoted,extrovert,14.6,74.1,True,True
u_00019,2025-05-05,2025-05,android,CA,variant,lower_friction,test_or_skip,False,,cultural,deep_introvert,56.5,97.4,True,True
u_00020,2025-02-13,2025-02,android,AE,control,baseline,mandatory_test,True,ESTJ,deep_seeker,ambivert,42.4,64.4,True,True
u_00021,2025-04-09,2025-04,web,MY,variant,lower_friction,self_select,True,INFJ,devoted,deep_introvert,25.8,74.6,True,False
u_00022,2025-11-02,2025-11,web,AU,variant,lower_friction,test_or_skip,False,,spiritual,ambivert,30.1,68.7,True,True
u_00023,2025-11-05,2025-11,android,UK,control,baseline,mandatory_test,True,ESTJ,devoted,ambivert,43.7,65.9,False,False
u_00024,2025-12-25,2025-12,android,ID,control,baseline,mandatory_test,False,,deep_seeker,extrovert,69.5,31.0,True,False
u_00025,2025-06-05,2025-06,ios,AE,control,baseline,mandatory_test,True,ENFP,practicing,extrovert,38.6,46.3,True,False
u_00026,2025-04-07,2025-04,android,AU,variant,lower_friction,self_select,True,ESFJ,spiritual,ambivert,77.4,44.1,True,False
u_00027,2025-12-17,2025-12,android,AE,variant,lower_friction,test_or_skip,False,,deep_seeker,introvert,49.6,56.8,True,False
u_00028,2025-06-13,2025-06,ios,UK,control,baseline,mandatory_test,False,,practicing,extrovert,52.1,38.1,False,False
u_00029,2025-10-22,2025-10,ios,AE,control,baseline,mandatory_test,True,INFP,cultural,extrovert,64.9,62.7,True,False
u_00030,2025-03-14,2025-03,web,UK,control,baseline,mandatory_test,True,ENTP,practicing,ambivert,63.9,53.3,True,False
u_00031,2025-01-24,2025-01,android,AE,variant,lower_friction,self_select,True,ISTP,spiritual,ambivert,61.8,42.5,True,True
u_00032,2025-08-23,2025-08,ios,SG,control,baseline,mandatory_test,False,,devoted,deep_introvert,35.8,27.1,False,False
u_00033,2025-07-24,2025-07,web,SG,control,baseline,mandatory_test,False,,devoted,extrovert,35.7,18.9,True,True
u_00034,2025-03-14,2025-03,ios,ID,control,baseline,mandatory_test,True,ESFJ,cultural,ambivert,26.7,73.5,True,True
u_00035,2025-08-24,2025-08,android,MY,control,baseline,mandatory_test,False,,spiritual,ambivert,44.0,48.5,True,False
u_00036,2025-05-23,2025-05,ios,UK,control,baseline,mandatory_test,True,ESFP,deep_seeker,deep_introvert,39.5,51.1,True,False
u_00037,2025-08-18,2025-08,web,UK,variant,lower_friction,self_select,True,INFJ,spiritual,ambivert,24.5,57.1,False,False
u_00038,2025-09-24,2025-09,ios,UK,variant,lower_friction,self_select,True,INTJ,devoted,extrovert,32.4,30.6,True,False
u_00039,2025-12-11,2025-12,android,AU,control,baseline,mandatory_test,False,,practicing,ambivert,64.3,52.1,False,False
u_00040,2025-05-30,2025-05,web,UK,variant,lower_friction,self_select,True,ENFJ,deep_seeker,introvert,51.8,45.4,True,True
u_00041,2025-09-30,2025-09,ios,UK,variant,lower_friction,test_or_skip,False,,practicing,introvert,66.6,68.3,True,False
u_00042,2025-09-01,2025-09,android,UK,control,baseline,mandatory_test,False,,deep_seeker,deep_introvert,30.0,64.8,True,True
u_00043,2025-10-02,2025-10,ios,AU,variant,lower_friction,self_select,True,ISFJ,cultural,ambivert,82.5,10.1,False,False
u_00044,2025-03-03,2025-03,ios,ID,variant,lower_friction,test_or_skip,False,,cultural,introvert,33.0,31.3,False,False
u_00045,2025-08-29,2025-08,android,AE,control,baseline,mandatory_test,True,ESTP,practicing,introvert,49.9,88.0,False,False
u_00046,2025-09-03,2025-09,ios,US,control,baseline,mandatory_test,True,ENFJ,practicing,deep_extrovert,52.5,67.0,True,True
u_00047,2025-03-11,2025-03,android,MY,variant,lower_friction,test_or_skip,False,,spiritual,extrovert,81.3,42.2,True,True
u_00048,2025-09-16,2025-09,android,UK,control,baseline,mandatory_test,True,ENTJ,practicing,extrovert,81.3,37.6,False,False
u_00049,2025-04-13,2025-04,android,AE,control,baseline,mandatory_test,False,,spiritual,ambivert,44.3,73.9,True,False
u_00050,2025-11-22,2025-11,ios,SG,control,baseline,mandatory_test,False,,devoted,deep_extrovert,32.0,94.6,False,False
u_00051,2025-11-06,2025-11,android,US,variant,lower_friction,test_or_skip,False,,spiritual,introvert,28.8,59.1,True,True
u_00052,2025-03-03,2025-03,android,CA,variant,lower_friction,test_or_skip,False,,devoted,introvert,62.6,47.7,True,True
u_00053,2025-12-02,2025-12,android,UK,control,baseline,mandatory_test,True,ENTJ,practicing,extrovert,40.5,76.5,False,False
u_00054,2025-04-15,2025-04,android,UK,control,baseline,mandatory_test,True,INTJ,practicing,introvert,56.9,26.0,True,True
u_00055,2025-01-07,2025-01,android,ID,control,baseline,mandatory_test,True,INTP,cultural,introvert,50.1,67.3,True,True
u_00056,2025-06-17,2025-06,ios,ID,control,baseline,mandatory_test,True,ESTJ,devoted,ambivert,22.2,57.6,True,True
u_00057,2025-10-07,2025-10,android,US,control,baseline,mandatory_test,False,,practicing,ambivert,32.9,80.7,False,False
u_00058,2025-05-09,2025-05,ios,ID,variant,lower_friction,test_or_skip,False,,practicing,extrovert,66.1,50.9,False,False
u_00059,2025-11-01,2025-11,ios,ID,control,baseline,mandatory_test,False,,spiritual,extrovert,45.4,57.2,True,True
u_00060,2025-06-09,2025-06,android,ID,variant,lower_friction,test_or_skip,False,,spiritual,ambivert,22.4,55.6,True,True
u_00061,2025-01-19,2025-01,android,UK,control,baseline,mandatory_test,False,,practicing,ambivert,58.9,43.2,True,True
u_00062,2025-01-30,2025-01,android,US,variant,lower_friction,self_select,True,ESTJ,practicing,introvert,34.7,74.9,True,True
u_00063,2025-05-05,2025-05,ios,ID,control,baseline,mandatory_test,False,,devoted,introvert,31.1,55.0,True,True
u_00064,2025-08-08,2025-08,android,CA,variant,lower_friction,self_select,True,ESFJ,practicing,introvert,42.8,54.0,True,True
u_00065,2025-09-15,2025-09,ios,AU,variant,lower_friction,test_or_skip,False,,practicing,ambivert,61.9,66.8,True,False
u_00066,2025-08-28,2025-08,web,CA,variant,lower_friction,self_select,True,ENFP,devoted,ambivert,19.1,34.1,True,True
u_00067,2025-03-28,2025-03,web,SG,control,baseline,mandatory_test,False,,practicing,ambivert,21.5,89.2,True,False
u_00068,2025-06-13,2025-06,android,MY,control,baseline,mandatory_test,False,,practicing,introvert,57.3,40.7,True,True
u_00069,2025-06-16,2025-06,ios,CA,control,baseline,mandatory_test,False,,spiritual,extrovert,79.3,50.3,True,True
u_00070,2025-12-05,2025-12,android,CA,variant,lower_friction,test_or_skip,False,,spiritual,ambivert,58.7,48.6,True,True
u_00071,2025-09-29,2025-09,ios,SG,control,baseline,mandatory_test,True,ENFP,devoted,introvert,43.6,63.4,True,False
u_00072,2025-12-12,2025-12,ios,US,control,baseline,mandatory_test,False,,devoted,extrovert,31.8,44.5,True,False
u_00073,2025-11-09,2025-11,android,ID,control,baseline,mandatory_test,True,ENFP,practicing,ambivert,39.3,60.4,True,True
